Sandwich_id,order_id,Sandwich_name_id,quantity,order_date,order_time,unit_price,total_price,Sandwich_size,Sandwich_category,Sandwich_name
1,1,hawaiian_m,1,01-01-2015,11:38:36,13.25,13.25,M,Classic,The Hawaiian Sandwich
2,2,classic_dlx_m,1,01-01-2015,11:57:40,16,16,M,Classic,The Classic Deluxe Sandwich
3,2,five_cheese_l,1,01-01-2015,11:57:40,18.5,18.5,L,Veggie,The Five Cheese Sandwich
4,2,ital_supr_l,1,01-01-2015,11:57:40,20.75,20.75,L,Supreme,The Italian Supreme Sandwich
5,2,mexicana_m,1,01-01-2015,11:57:40,16,16,M,Veggie,The Mexicana Sandwich
6,2,thai_ckn_l,1,01-01-2015,11:57:40,20.75,20.75,L,Chicken,The Thai Chicken Sandwich
7,3,ital_supr_m,1,01-01-2015,12:12:28,16.5,16.5,M,Supreme,The Italian Supreme Sandwich
8,3,prsc_argla_l,1,01-01-2015,12:12:28,20.75,20.75,L,Supreme,The Prosciutto and Arugula Sandwich
9,4,ital_supr_m,1,01-01-2015,12:16:31,16.5,16.5,M,Supreme,The Italian Supreme Sandwich
10,5,ital_supr_m,1,01-01-2015,12:21:30,16.5,16.5,M,Supreme,The Italian Supreme Sandwich
11,6,bbq_ckn_s,1,01-01-2015,12:29:36,12.75,12.75,S,Chicken,The Barbecue Chicken Sandwich
12,6,the_greek_s,1,01-01-2015,12:29:36,12,12,S,Classic,The Greek Sandwich
13,7,spinach_supr_s,1,01-01-2015,12:50:37,12.5,12.5,S,Supreme,The Spinach Supreme Sandwich
14,8,spinach_supr_s,1,01-01-2015,12:51:37,12.5,12.5,S,Supreme,The Spinach Supreme Sandwich
15,9,classic_dlx_s,1,01-01-2015,12:52:01,12,12,S,Classic,The Classic Deluxe Sandwich
16,9,green_garden_s,1,01-01-2015,12:52:01,12,12,S,Veggie,The Green Garden Sandwich
17,9,ital_cpcllo_l,1,01-01-2015,12:52:01,20.5,20.5,L,Classic,The Italian Capocollo Sandwich
18,9,ital_supr_l,1,01-01-2015,12:52:01,20.75,20.75,L,Supreme,The Italian Supreme Sandwich
19,9,ital_supr_s,1,01-01-2015,12:52:01,12.5,12.5,S,Supreme,The Italian Supreme Sandwich
20,9,mexicana_s,1,01-01-2015,12:52:01,12,12,S,Veggie,The Mexicana Sandwich
21,9,spicy_ital_l,1,01-01-2015,12:52:01,20.75,20.75,L,Supreme,The Spicy Italian Sandwich
22,9,spin_pesto_l,1,01-01-2015,12:52:01,20.75,20.75,L,Veggie,The Spinach Pesto Sandwich
23,9,veggie_veg_s,1,01-01-2015,12:52:01,12,12,S,Veggie,The Vegetables + Vegetables Sandwich
24,10,mexicana_l,1,01-01-2015,13:00:15,20.25,20.25,L,Veggie,The Mexicana Sandwich
